id_instalacion,fecha_cierre,fecha_apertura,rut_jefe_cierre
103,11/22/2013 19:56,11/30/2013 11:52,76396643-7
145,5/10/2018 7:26,5/17/2018 12:03,12187269-2
116,10/15/2019 2:48,10/27/2019 5:28,99347364-2
203,4/25/2016 0:57,5/5/2016 13:24,50109588-5
54,12/2/2017 21:53,12/7/2017 5:39,79348268-k
98,4/25/2012 16:55,5/5/2012 19:29,99837067-1
212,1/9/2017 15:34,1/14/2017 1:15,77489819-0
144,6/24/2014 12:20,7/3/2014 13:09,70388205-6
116,3/8/2019 20:42,3/15/2019 6:15,86367440-9
172,10/9/2017 8:30,10/13/2017 21:35,82993651-8
169,1/15/2014 0:07,1/28/2014 13:26,75328775-2
138,1/23/2011 22:45,1/31/2011 11:30,21201270-k
69,12/1/2017 1:18,12/13/2017 3:28,95367461-0
48,11/10/2011 7:24,11/20/2011 11:38,11554909-k
30,3/23/2019 17:39,3/29/2019 5:38,33016426-3
131,1/11/2013 6:50,1/20/2013 17:07,70582800-8
90,2/4/2018 1:39,2/17/2018 3:32,32628385-1
174,12/14/2011 0:35,12/28/2011 11:48,14292252-5
67,3/21/2013 6:11,4/3/2013 17:17,48292072-1
190,3/9/2016 11:17,3/21/2016 14:49,54746197-5
66,3/12/2015 4:40,3/25/2015 12:30,43953571-7
59,7/30/2019 10:13,8/9/2019 12:49,75910499-4
60,8/7/2018 3:42,8/19/2018 5:30,10254486-2
164,2/1/2018 3:40,2/4/2018 6:22,75397524-1
172,7/8/2020 7:29,7/16/2020 8:25,12348490-8
117,11/8/2017 18:53,11/20/2017 4:02,80092681-5
200,5/17/2018 15:56,5/29/2018 8:35,53329659-9
23,5/7/2013 9:42,5/16/2013 12:00,28630079-0
210,8/30/2015 20:33,9/10/2015 22:50,83386046-1
48,10/1/2016 12:18,10/4/2016 22:21,14377401-5
187,1/22/2013 0:00,2/3/2013 0:46,73543707-0
200,12/18/2015 17:47,12/30/2015 6:25,53329659-9
90,5/6/2015 8:49,5/19/2015 19:26,95656123-k
163,9/12/2011 0:41,9/20/2011 3:45,92554015-3
55,1/9/2014 21:34,1/13/2014 11:28,96900689-8
77,5/28/2011 3:31,6/6/2011 19:07,81600879-4
75,4/24/2020 23:49,5/1/2020 15:01,59495529-3
145,4/27/2016 10:56,5/11/2016 14:46,40644356-6
10,10/31/2014 9:13,11/12/2014 14:56,49326776-0
176,6/26/2010 11:24,7/8/2010 11:36,77484278-0
172,12/28/2013 1:44,1/3/2014 11:12,82993651-8
154,5/1/2012 13:59,5/8/2012 19:04,55106753-k
31,12/18/2016 7:09,12/24/2016 15:41,90471139-k
32,9/27/2015 9:11,10/1/2015 18:26,25450277-4
193,6/13/2019 7:14,6/22/2019 9:12,50453382-4
13,5/20/2016 15:35,6/4/2016 6:15,97675067-5
33,10/5/2012 0:28,10/19/2012 0:37,78166652-1
136,9/9/2013 6:34,9/12/2013 15:06,27712443-2
72,12/22/2013 16:53,12/25/2013 23:55,58000701-5
85,6/8/2015 19:43,6/22/2015 7:44,12460058-8
109,9/3/2017 7:23,9/6/2017 22:15,89336201-0
108,2/28/2010 13:06,3/8/2010 0:32,51853396-7
205,5/25/2018 12:19,6/4/2018 13:49,75269880-5
85,3/14/2018 16:07,3/22/2018 7:23,33874298-3
207,3/25/2015 21:36,4/8/2015 3:03,35785969-7
24,10/15/2015 20:09,10/23/2015 4:22,69141385-3
26,10/29/2013 6:43,11/12/2013 21:31,15333675-k
80,11/14/2014 18:40,11/25/2014 6:28,85301240-8
107,10/11/2013 13:10,10/23/2013 13:49,85682952-9
159,10/4/2016 5:01,10/11/2016 11:06,95185947-8
180,2/8/2020 22:56,2/12/2020 13:36,99223381-8
173,7/1/2018 9:09,7/9/2018 20:21,76356563-7
197,9/27/2017 6:29,10/2/2017 6:59,18076157-8
110,10/31/2014 8:05,11/9/2014 20:15,57342278-3
147,7/19/2013 7:02,7/24/2013 8:48,81602032-8
107,12/25/2016 7:48,12/30/2016 8:52,92311983-3
66,2/14/2010 16:54,2/24/2010 19:38,95932617-7
114,11/10/2016 23:06,11/18/2016 3:38,61892040-2
24,5/8/2020 4:21,5/12/2020 6:47,52581344-4
28,1/6/2020 16:47,1/21/2020 8:34,83118985-1
67,8/5/2017 14:04,8/15/2017 18:04,63814706-8
81,1/12/2020 3:13,1/26/2020 7:30,90739234-1
194,10/1/2012 15:44,10/9/2012 4:07,54593722-0
114,3/17/2013 14:10,3/30/2013 17:13,88697741-7
39,9/20/2016 13:13,10/2/2016 21:46,58303600-8
109,12/23/2014 15:46,12/28/2014 17:19,89336201-0
197,6/4/2019 18:54,6/8/2019 23:21,84095044-1
29,8/3/2018 14:07,8/17/2018 15:53,49993665-6
209,2/26/2013 5:28,3/4/2013 21:09,46491043-3
133,3/26/2016 13:52,4/8/2016 22:24,59814228-9
77,3/15/2014 1:31,3/26/2014 15:07,75357089-6
12,8/2/2020 2:00,8/7/2020 17:42,98544321-1
5,6/30/2015 20:00,7/8/2015 4:13,74580276-1
151,10/26/2014 21:39,11/8/2014 11:31,76563311-7
147,5/31/2014 15:30,6/8/2014 5:43,20034783-8
145,4/22/2018 9:08,4/28/2018 15:38,12187269-2
86,5/19/2011 1:24,6/2/2011 2:27,34414978-k
48,1/9/2013 5:13,1/19/2013 5:58,51630030-2
213,3/27/2013 0:31,4/7/2013 4:49,87859472-k
93,1/29/2020 22:15,2/4/2020 8:18,82833215-5
84,5/19/2011 4:05,6/2/2011 19:32,72429091-4
161,11/10/2019 6:26,11/14/2019 20:40,83029887-8
62,11/16/2015 3:58,11/24/2015 9:13,45400053-6
148,9/27/2016 16:20,10/12/2016 8:52,30364676-0
24,7/21/2010 14:36,7/25/2010 1:42,69141385-3
175,3/25/2018 0:29,4/8/2018 15:00,26617374-1
62,11/27/2010 16:40,12/8/2010 0:53,76849115-1
43,1/4/2015 23:17,1/12/2015 9:31,79543386-4
185,3/24/2011 10:06,3/30/2011 17:27,86555166-5
93,3/26/2020 6:18,4/4/2020 10:38,82833215-5
27,12/17/2012 9:26,12/20/2012 19:26,25002692-7
171,2/11/2018 1:13,2/19/2018 16:53,94559048-3
67,9/5/2016 8:28,9/9/2016 20:47,57133149-7
37,3/25/2019 8:30,4/3/2019 16:09,34349789-k
93,3/24/2019 11:35,4/5/2019 20:01,93044599-1
142,6/27/2016 9:37,7/10/2016 20:17,98121429-3
100,3/31/2020 15:08,4/10/2020 6:33,34996262-4
190,1/7/2015 9:44,1/21/2015 2:08,63953205-4
23,11/13/2017 16:53,11/21/2017 19:00,28630079-0
103,7/21/2017 14:29,8/3/2017 23:28,73026642-1
208,8/30/2019 23:45,9/11/2019 2:53,51242629-8
148,4/29/2017 0:40,5/5/2017 4:05,95777850-k
22,8/10/2020 16:43,8/18/2020 2:03,63974341-1
40,3/7/2018 3:04,3/20/2018 9:06,23494123-2
86,5/1/2018 7:58,5/7/2018 21:23,34414978-k
81,5/11/2016 15:26,5/26/2016 3:03,79480331-5
132,10/31/2018 1:21,11/8/2018 17:50,54363208-2
151,3/12/2019 21:19,3/17/2019 22:25,85973291-7
176,1/14/2016 11:44,1/21/2016 2:47,72810804-5
193,4/30/2013 6:43,5/10/2013 20:11,72570829-7
154,1/14/2017 13:27,1/26/2017 23:35,92445451-2
14,9/10/2014 14:29,9/15/2014 4:44,46787382-2
184,2/22/2013 5:41,3/7/2013 6:15,85743167-7
114,5/2/2011 12:23,5/10/2011 12:50,95403427-5
11,11/26/2017 19:11,12/1/2017 10:22,40538537-6
189,8/5/2011 7:27,8/9/2011 7:34,66361406-1
116,9/5/2013 21:43,9/12/2013 14:18,52968708-7
28,8/6/2015 7:45,8/12/2015 19:57,14114400-6
116,6/1/2011 16:42,6/15/2011 18:52,86367440-9
93,4/9/2011 2:06,4/19/2011 8:33,14982281-k
76,6/9/2018 14:00,6/15/2018 5:25,32700742-4
76,4/18/2010 3:22,4/28/2010 12:43,10537138-1
188,8/15/2012 11:03,8/21/2012 18:20,60747994-1
52,12/17/2014 3:57,12/20/2014 7:20,79263691-8
57,3/14/2017 21:47,3/25/2017 23:46,91231636-k
105,10/4/2013 2:37,10/18/2013 11:24,95514882-7
210,7/11/2011 2:27,7/25/2011 9:25,19735595-6
169,12/24/2018 3:20,12/27/2018 13:29,75328775-2
184,9/2/2016 4:47,9/16/2016 5:53,45717384-9
207,2/22/2018 17:39,2/28/2018 2:20,34039148-9
179,2/23/2020 23:41,3/7/2020 6:44,64269343-3
88,6/29/2017 15:56,7/5/2017 16:01,54480341-7
138,6/28/2019 22:46,7/11/2019 9:25,45125749-8
142,3/10/2012 20:15,3/14/2012 10:04,13592940-9
167,9/5/2020 12:13,9/20/2020 0:13,20209505-4
197,8/5/2016 18:50,8/17/2016 6:36,72070561-3
169,1/26/2016 23:36,1/30/2016 12:35,75328775-2
210,3/22/2017 9:12,3/26/2017 21:37,29877385-6
62,1/31/2011 20:22,2/9/2011 1:58,36600416-5
105,2/14/2017 3:42,2/21/2017 11:15,63382431-2
170,2/7/2011 18:55,2/20/2011 8:13,51193594-6
77,5/18/2013 8:16,5/24/2013 21:30,59444986-k
9,8/24/2014 17:29,9/5/2014 0:20,94384917-k
58,12/18/2015 18:24,12/25/2015 7:50,63421928-5
8,8/25/2017 3:16,8/28/2017 3:29,35480818-8
155,8/26/2011 16:40,8/31/2011 19:45,85384785-2
79,4/28/2016 10:18,5/4/2016 1:56,77477421-1
16,9/27/2010 21:48,10/6/2010 23:02,86164302-6
103,1/12/2012 4:16,1/20/2012 17:35,73026642-1
135,9/4/2016 15:05,9/9/2016 20:08,74748755-3
112,11/23/2019 4:38,11/28/2019 14:52,93285177-6
56,8/1/2013 17:14,8/4/2013 17:23,43926456-k
42,5/26/2019 22:50,6/6/2019 4:08,96251410-3
163,4/5/2018 10:59,4/14/2018 17:13,20820475-0
1,4/4/2020 9:03,4/18/2020 13:28,98683815-5
175,5/19/2020 15:31,5/27/2020 22:54,33890329-4
124,6/26/2014 14:42,7/4/2014 4:00,26123513-7
87,11/13/2019 21:46,11/26/2019 22:15,64063874-5
34,1/31/2019 13:45,2/9/2019 14:55,14200344-9
33,10/5/2016 10:28,10/19/2016 20:20,91888069-0
207,7/25/2016 0:24,8/2/2016 16:26,79758989-6
53,10/10/2015 23:17,10/17/2015 5:11,66045545-0
103,7/20/2018 5:45,8/1/2018 8:12,11784418-8
64,11/14/2019 8:14,11/23/2019 0:10,48176712-1
62,12/24/2018 4:58,1/2/2019 9:59,31457093-6
200,6/5/2020 19:01,6/13/2020 11:31,38830395-6
57,6/15/2017 2:32,6/27/2017 4:33,12673702-5
162,5/17/2015 14:46,5/23/2015 22:58,88034198-7
109,8/1/2018 7:14,8/6/2018 18:41,12205074-2
147,9/19/2014 16:41,10/1/2014 21:02,16836029-0
37,12/1/2014 8:53,12/11/2014 17:35,41694611-6
198,7/6/2012 1:35,7/17/2012 1:43,86447590-6
132,11/6/2015 4:51,11/10/2015 13:14,54004386-8
27,10/8/2018 9:47,10/16/2018 16:03,69402733-4
124,3/17/2018 12:43,3/29/2018 13:23,83917354-7
8,7/9/2018 5:12,7/22/2018 18:38,38629675-8
141,12/7/2019 16:40,12/19/2019 2:38,22240154-2
16,11/23/2015 21:00,11/29/2015 7:15,86164302-6
193,5/13/2010 6:54,5/21/2010 13:11,66899113-0
22,2/23/2011 3:02,2/26/2011 14:21,63974341-1
196,9/20/2011 0:24,9/26/2011 4:58,45355149-0
35,6/28/2018 5:22,7/7/2018 6:24,31111145-0
172,6/26/2014 10:06,7/7/2014 21:08,59959821-9
149,12/6/2011 12:32,12/15/2011 4:54,79695896-0
129,8/16/2019 16:50,8/22/2019 2:30,69251591-9
207,8/8/2014 20:23,8/22/2014 5:22,35785969-7
189,12/26/2017 0:36,1/1/2018 7:57,63884576-8
97,7/18/2018 14:15,7/25/2018 19:43,87544765-3
160,1/29/2010 22:52,2/5/2010 5:26,23298314-0
8,9/2/2016 6:25,9/11/2016 15:45,34352032-8
107,11/27/2014 2:52,12/9/2014 14:50,38317707-3
145,10/4/2015 11:25,10/11/2015 12:59,12187269-2
210,11/28/2010 1:50,12/10/2010 10:32,33802463-0
84,11/30/2018 21:24,12/6/2018 5:07,15623590-3
80,7/18/2012 4:30,7/23/2012 12:54,43630930-9
71,2/9/2011 1:43,2/14/2011 10:24,81698647-8
77,11/9/2017 13:21,11/24/2017 4:06,57639262-1
142,7/25/2013 15:35,8/5/2013 23:13,65855526-k
181,8/20/2012 17:03,8/28/2012 2:25,71962392-1
3,11/26/2013 2:03,12/9/2013 9:25,27626683-7
159,4/14/2012 21:06,4/21/2012 23:58,21332506-k
163,1/6/2016 11:20,1/10/2016 16:50,71389826-0
144,3/21/2019 7:18,4/4/2019 11:36,41183684-3
130,12/24/2013 4:43,12/27/2013 10:47,53967694-6
45,8/6/2015 19:49,8/14/2015 5:06,22274441-5
181,12/27/2015 5:43,1/10/2016 9:44,11123767-0
16,5/28/2014 16:12,6/11/2014 20:41,53089483-5
52,8/23/2016 16:36,8/31/2016 2:19,71881591-6
101,5/23/2011 20:15,5/30/2011 1:42,31706054-8
76,1/30/2011 21:28,2/7/2011 8:20,10537138-1
144,3/19/2015 4:32,4/1/2015 20:29,52189199-8
0,2/12/2013 3:19,2/20/2013 7:35,75295314-7
144,8/20/2020 9:17,8/26/2020 11:25,11439340-1
150,3/10/2020 9:14,3/24/2020 23:06,71612139-9
11,9/5/2011 16:18,9/12/2011 1:09,59260036-6
11,5/4/2020 17:20,5/12/2020 5:17,40538537-6
101,1/5/2016 22:13,1/16/2016 3:52,89146700-1
131,4/2/2012 13:53,4/16/2012 22:59,91461351-5
101,4/7/2015 9:18,4/11/2015 20:49,35414863-3
108,2/13/2011 21:06,2/17/2011 1:05,48459253-5
87,1/5/2017 16:49,1/16/2017 2:10,74357811-2
38,9/5/2015 23:39,9/13/2015 4:49,37797879-k
181,8/3/2014 1:30,8/7/2014 8:24,11123767-0
176,11/19/2018 16:24,11/28/2018 22:48,77484278-0
61,8/30/2015 3:43,9/5/2015 15:01,62014673-0
3,12/4/2015 16:58,12/13/2015 0:47,16264932-9
73,2/24/2017 22:26,3/5/2017 9:11,29903675-8
14,9/27/2016 16:28,10/3/2016 22:55,30741496-1
182,3/30/2019 1:52,4/11/2019 5:37,11544489-1
126,7/30/2017 11:30,8/11/2017 2:40,34012878-8
82,5/24/2020 5:47,6/1/2020 16:57,21630671-6
6,6/9/2010 6:00,6/15/2010 7:18,95541819-0
207,5/20/2018 10:44,5/31/2018 11:56,79758989-6
40,8/3/2010 11:34,8/13/2010 21:56,22001298-0
26,3/4/2019 8:53,3/17/2019 11:51,43922451-7
29,10/11/2013 4:15,10/21/2013 12:41,28231652-8
80,1/11/2017 4:42,1/17/2017 19:36,85301240-8
184,1/22/2015 2:02,1/28/2015 9:19,52158784-9
52,2/21/2018 4:18,2/24/2018 15:33,45026478-4
154,2/25/2019 5:21,3/2/2019 14:53,49641463-2
146,8/5/2010 23:46,8/20/2010 5:28,50511840-5
15,9/11/2017 12:10,9/17/2017 18:05,93009498-6
31,4/18/2020 20:34,5/1/2020 5:11,90471139-k
45,1/22/2020 13:04,1/29/2020 19:25,75981648-k
80,8/12/2013 9:55,8/21/2013 16:39,92170041-5
157,11/3/2015 2:32,11/12/2015 5:33,49359132-0
126,4/18/2019 15:49,5/2/2019 19:17,44812887-3
180,7/29/2015 16:35,8/5/2015 16:53,35776394-0
71,5/8/2014 5:39,5/17/2014 16:20,15119459-1
139,2/11/2016 1:01,2/18/2016 12:07,91119340-k
183,2/6/2013 17:46,2/11/2013 20:37,26849996-2
17,9/5/2012 23:24,9/18/2012 6:51,46288331-5
195,11/14/2014 22:02,11/26/2014 2:37,34902561-2
92,10/12/2013 16:42,10/22/2013 9:03,13965853-1
66,7/13/2011 22:37,7/25/2011 14:13,43953571-7
111,6/29/2013 16:40,7/5/2013 21:55,41325900-2
70,2/4/2013 9:31,2/16/2013 12:50,25399600-5
74,12/17/2010 22:42,12/23/2010 2:01,42300579-3
136,3/31/2014 18:07,4/3/2014 21:32,91957637-5
53,11/24/2015 3:05,12/2/2015 19:17,53747213-8
36,8/26/2014 16:27,9/2/2014 0:26,29742884-5
107,4/28/2017 21:24,5/9/2017 8:21,38317707-3
22,12/29/2011 6:38,1/5/2012 15:44,63974341-1
201,8/3/2016 9:53,8/6/2016 10:19,41071374-8
60,9/28/2013 17:35,10/8/2013 19:05,54121962-5
12,12/12/2016 11:14,12/18/2016 22:14,34572846-5
39,11/12/2015 9:54,11/21/2015 18:51,58303600-8
150,3/28/2018 10:55,4/9/2018 0:00,82903113-2
190,3/29/2013 16:00,4/5/2013 4:47,95711978-6
26,1/24/2014 6:36,1/29/2014 19:22,95741388-9
134,3/14/2014 8:49,3/17/2014 15:58,57325256-k
193,9/3/2016 9:39,9/16/2016 11:17,20026905-5
74,5/20/2010 12:24,6/4/2010 1:52,72309503-4
147,5/26/2014 15:25,6/2/2014 0:15,48433213-4
210,10/23/2016 3:13,11/6/2016 17:48,33802463-0
177,3/30/2017 5:28,4/13/2017 11:36,44973013-5
57,5/1/2013 6:39,5/12/2013 18:49,76081261-7
45,1/20/2018 23:12,1/26/2018 12:55,68505645-3
149,11/30/2013 19:45,12/13/2013 1:29,85394005-4
150,12/15/2011 3:12,12/24/2011 9:13,43654491-k
208,2/5/2013 17:39,2/10/2013 1:46,86434438-0
106,10/10/2019 16:51,10/14/2019 7:18,53211068-8
153,11/19/2016 2:14,11/29/2016 8:27,23047484-2
67,12/27/2013 22:58,1/9/2014 14:47,53721649-2
206,2/19/2018 5:42,3/3/2018 13:00,21219682-7
178,9/10/2012 15:01,9/23/2012 5:08,91790173-2
212,6/19/2011 9:33,7/1/2011 1:44,61774912-2
176,1/29/2010 5:59,2/6/2010 15:54,77484278-0
111,4/6/2010 7:49,4/15/2010 22:21,45644100-9
178,5/2/2013 4:30,5/11/2013 8:23,91790173-2
131,12/2/2011 18:57,12/10/2011 9:36,70582800-8
156,8/13/2019 14:58,8/19/2019 21:34,83123905-0
65,9/30/2017 11:55,10/8/2017 4:23,30928102-0
69,3/15/2012 10:26,3/26/2012 12:55,10119008-0
207,10/21/2014 0:34,11/4/2014 7:47,79758989-6
152,5/18/2010 5:59,5/23/2010 21:54,69691126-6
52,1/7/2013 9:45,1/21/2013 2:05,79263691-8
154,3/4/2017 1:20,3/12/2017 3:01,59060940-4
123,7/7/2011 22:03,7/10/2011 22:20,56229978-5
159,8/30/2011 18:12,9/9/2011 1:13,95185947-8
196,4/14/2018 6:31,4/28/2018 15:29,81560843-7
108,2/17/2010 17:07,2/22/2010 6:20,63824003-3
72,11/11/2013 23:18,11/18/2013 1:03,64370666-0
112,4/4/2018 15:01,4/15/2018 21:04,25198755-6
24,3/18/2017 11:41,3/22/2017 20:24,32992512-9
110,9/8/2019 12:19,9/11/2019 22:02,36918308-7
117,5/27/2015 12:28,6/7/2015 3:04,10094201-1
115,6/27/2016 11:28,7/3/2016 22:01,43831962-k
25,1/20/2020 4:42,1/26/2020 12:09,96951878-3
55,7/7/2012 2:13,7/16/2012 16:02,96900689-8
213,8/12/2011 16:33,8/16/2011 4:17,13370165-6
107,11/25/2013 14:57,12/5/2013 4:11,12957899-8
47,3/14/2019 17:41,3/28/2019 4:08,90594532-7
1,3/22/2017 3:24,4/5/2017 12:18,41704207-5
80,1/25/2011 6:21,2/5/2011 14:30,97343582-5
48,6/28/2017 9:27,7/6/2017 20:27,11554909-k
100,7/10/2020 12:44,7/21/2020 2:08,92394961-5
103,12/9/2010 2:06,12/20/2010 8:03,11784418-8
142,3/30/2011 9:04,4/9/2011 13:41,15591154-9
106,7/20/2011 7:56,7/23/2011 13:08,77520112-6
93,11/11/2013 21:37,11/16/2013 4:10,82833215-5
199,8/21/2014 2:33,8/27/2014 12:52,97004364-0
158,6/11/2016 14:42,6/16/2016 18:49,81498697-7
79,10/19/2018 5:32,10/22/2018 9:23,77477421-1
172,1/19/2010 20:43,2/3/2010 10:33,12348490-8
48,1/24/2011 23:18,2/2/2011 5:16,37285914-8
18,6/19/2018 5:14,6/25/2018 20:50,45981588-0
203,2/1/2014 23:35,2/14/2014 3:31,50109588-5
210,7/21/2012 16:07,7/27/2012 0:31,31256887-k
214,5/15/2010 2:41,5/25/2010 11:16,63459997-5
20,6/6/2015 23:04,6/18/2015 6:39,96828461-4
135,9/15/2010 5:17,9/24/2010 15:33,48269008-4
206,1/28/2013 1:53,2/3/2013 11:32,21219682-7
57,5/14/2015 21:50,5/26/2015 2:03,36432728-5
172,11/6/2016 4:54,11/20/2016 16:21,59959821-9
211,6/22/2016 21:58,7/2/2016 6:14,11453035-2
212,10/18/2018 16:11,10/25/2018 0:06,77489819-0
103,8/1/2015 11:28,8/13/2015 19:08,95667888-9
136,4/14/2013 3:46,4/19/2013 8:00,15460166-k
192,5/7/2013 19:46,5/13/2013 2:06,50728559-7
151,2/2/2011 1:42,2/15/2011 15:08,96863860-2
199,10/19/2014 18:40,11/1/2014 8:58,59890575-4
13,2/22/2015 22:59,3/3/2015 15:04,79459402-3
144,6/21/2012 20:42,7/4/2012 8:28,70388205-6
130,1/30/2012 15:11,2/10/2012 22:00,16636734-4
19,6/15/2012 5:05,6/18/2012 17:45,50942616-3
49,5/21/2017 16:47,6/3/2017 23:40,14408869-7
93,7/31/2012 2:21,8/7/2012 6:21,44372095-2
166,3/28/2019 6:57,4/10/2019 22:04,17459269-1
35,1/2/2010 16:58,1/17/2010 3:55,23748548-3
126,4/5/2014 12:19,4/16/2014 1:00,85034590-2
120,12/26/2015 3:54,1/3/2016 10:02,96562711-1
202,6/8/2015 22:39,6/23/2015 1:10,91346186-k
98,4/21/2020 17:54,4/29/2020 23:44,35661237-k
214,11/25/2017 9:34,11/29/2017 12:11,73815426-6
47,5/16/2012 21:59,5/31/2012 3:13,27183294-k
120,10/29/2018 12:30,11/3/2018 15:17,13572944-2
51,7/22/2017 14:35,8/1/2017 2:57,44626695-0
54,5/15/2014 13:09,5/24/2014 3:19,79348268-k
32,2/8/2011 16:17,2/13/2011 19:32,99233768-0
192,12/26/2017 11:08,1/4/2018 16:25,91085975-7
28,4/22/2017 4:34,5/5/2017 14:46,94362008-3
83,7/3/2018 21:43,7/16/2018 9:35,47922722-5
190,2/23/2020 6:12,3/6/2020 19:31,28273728-0
128,1/14/2013 5:47,1/20/2013 16:59,53383454-k
100,5/31/2018 6:13,6/4/2018 18:42,34996262-4
157,6/25/2012 10:05,7/2/2012 22:38,36081017-8
202,7/15/2020 8:25,7/24/2020 14:54,38628283-8
38,6/18/2014 11:05,6/21/2014 13:00,88772168-8
5,9/1/2020 0:24,9/9/2020 14:26,53609901-8
105,1/20/2011 14:29,1/26/2011 15:13,63382431-2
111,4/20/2019 5:34,5/3/2019 20:43,62820832-8
155,8/20/2014 18:41,9/3/2014 6:03,51693674-6
10,12/13/2010 14:04,12/18/2010 5:12,28060713-4
115,4/23/2017 22:21,5/2/2017 4:49,23514054-3
32,8/19/2011 3:13,8/22/2011 15:46,25750021-7
97,10/18/2014 7:08,10/24/2014 10:27,77020926-9
147,3/21/2010 0:38,4/4/2010 4:35,16836029-0
40,5/7/2012 14:22,5/17/2012 1:33,22001298-0
73,2/5/2017 8:57,2/12/2017 17:09,33090056-3
17,6/1/2017 11:47,6/10/2017 20:19,69760987-3
208,11/2/2013 19:20,11/13/2013 7:21,66119831-1
0,12/27/2011 0:26,1/9/2012 16:57,47981838-k
21,7/28/2010 2:07,8/3/2010 5:40,56093204-9
80,5/5/2016 20:33,5/14/2016 9:11,92170041-5
113,10/31/2010 11:13,11/4/2010 13:49,94888169-1
89,1/14/2020 22:17,1/23/2020 3:18,58366562-5
33,12/9/2019 12:58,12/20/2019 22:22,13068977-9
114,12/3/2017 2:17,12/15/2017 6:14,48766480-4
15,8/16/2012 20:35,8/28/2012 3:55,20640357-8
40,11/22/2019 0:56,11/27/2019 10:56,77210598-3
210,6/8/2010 3:32,6/20/2010 7:36,83386046-1
143,10/23/2018 15:32,11/6/2018 8:09,61863167-2
176,4/3/2011 11:30,4/13/2011 20:55,72810804-5
24,4/26/2014 4:17,4/30/2014 15:43,32992512-9
132,4/7/2011 3:07,4/18/2011 10:18,54363208-2
202,12/27/2019 5:19,1/9/2020 8:35,91346186-k
1,2/24/2010 2:12,3/1/2010 2:49,39038168-9
121,2/28/2015 14:19,3/11/2015 6:37,70368495-5
182,7/4/2015 21:34,7/16/2015 8:37,33236616-5
88,7/31/2013 10:44,8/9/2013 10:51,73324033-4
122,12/9/2019 12:58,12/20/2019 22:22,25844754-9
